abbreviation,region name,6-F-DET1 count,6-F-DET2 count,6-F-DET3 count,6-F-DET4 count,6-F-DET5 count,6-F-DET6 count,6-F-DET7 count,6-F-DET8 count,A-SSRI1 count,A-SSRI2 count,A-SSRI3 count,A-SSRI4 count,A-SSRI5 count,A-SSRI6 count,A-SSRI7 count,A-SSRI8 count,C-SSRI1 count,C-SSRI2 count,C-SSRI3 count,C-SSRI4 count,C-SSRI5 count,C-SSRI6 count,C-SSRI7 count,C-SSRI8 count,DMT1 count,DMT2 count,DMT3 count,DMT4 count,DMT5 count,DMT6 count,DMT7 count,DMT8 count,KET1 count,KET2 count,KET3 count,KET4 count,KET5 count,KET6 count,KET7 count,KET8 count,MDMA1 count,MDMA2 count,MDMA3 count,MDMA4 count,MDMA5 count,MDMA6 count,MDMA7 count,MDMA8 count,PSI1 count,PSI2 count,PSI3 count,PSI4 count,PSI5 count,PSI6 count,PSI7 count,PSI8 count,SAL1 count,SAL2 count,SAL3 count,SAL4 count,SAL5 count,SAL6 count,SAL7 count,SAL8 count
RSPv,Retrosplenial area ventral part,44490.0,11944.0,8265.0,24377.0,76960.0,31054.0,35959.0,36983.0,23408.0,28252.0,31993.0,37309.0,17451.0,39499.0,28273.0,15072.0,16006.0,17996.0,20848.0,14091.0,19306.0,27365.0,32177.0,19845.0,19326.0,7706.0,30384.0,6428.0,9849.0,11236.0,12735.0,11504.0,9237.0,27463.0,4628.0,49264.0,45649.0,64081.0,57777.0,108908.0,77536.0,75790.0,58641.0,61717.0,57867.0,86875.0,72200.0,89050.0,19810.0,31364.0,10188.0,31224.0,10653.0,5259.0,4504.0,11298.0,32637.0,66848.0,33298.0,10995.0,11127.0,2324.0,4207.0,8031.0
PL,Prelimbic area,25139.0,12321.0,9672.0,36252.0,66235.0,21125.0,36585.0,56090.0,12922.0,24065.0,29145.0,31021.0,30130.0,34227.0,27525.0,16381.0,12105.0,15030.0,17360.0,12260.0,15513.0,18754.0,18719.0,14443.0,35975.0,23459.0,57174.0,5694.0,29703.0,31896.0,13428.0,17672.0,42515.0,61324.0,33377.0,76703.0,41009.0,39761.0,38732.0,83160.0,51182.0,58529.0,48159.0,54999.0,47616.0,57682.0,48343.0,58932.0,18148.0,22154.0,13754.0,24873.0,35945.0,36833.0,16089.0,15096.0,21602.0,29451.0,26230.0,18737.0,34681.0,29236.0,15567.0,30950.0
VISa,Anterior area,6229.0,2475.0,4272.0,11493.0,21930.0,8479.0,12745.0,8204.0,2548.0,13042.0,20386.0,18868.0,9565.0,14363.0,7588.0,1327.0,6343.0,8530.0,11814.0,4606.0,4322.0,10567.0,13092.0,8721.0,15267.0,10201.0,32835.0,19709.0,5599.0,17278.0,7300.0,15248.0,11190.0,21114.0,6122.0,41076.0,22020.0,39149.0,19353.0,34189.0,45982.0,34661.0,27705.0,37330.0,25131.0,37579.0,35869.0,39953.0,8258.0,14971.0,3016.0,19414.0,11865.0,19129.0,8349.0,10553.0,15616.0,15756.0,23296.0,683.0,18162.0,3304.0,1714.0,15514.0
TEa,Temporal association areas,24858.0,8894.0,61743.0,67551.0,110229.0,65737.0,72101.0,94000.0,35667.0,47646.0,53008.0,56115.0,80049.0,53272.0,28418.0,34681.0,10717.0,38952.0,23385.0,29336.0,32971.0,21215.0,24131.0,20872.0,52795.0,57293.0,96352.0,60874.0,38937.0,62307.0,100752.0,65762.0,80179.0,75189.0,81489.0,127139.0,68802.0,58826.0,58877.0,83786.0,73444.0,74763.0,48960.0,81022.0,68533.0,66697.0,57908.0,83545.0,19947.0,55480.0,34243.0,61952.0,69711.0,63124.0,69838.0,66781.0,79354.0,58739.0,46710.0,19766.0,55624.0,27276.0,33940.0,99186.0
PERI,Perirhinal area,9571.0,2178.0,6560.0,9909.0,14425.0,7330.0,7667.0,13238.0,7133.0,2429.0,2469.0,4255.0,6862.0,10569.0,2621.0,5884.0,1583.0,2484.0,687.0,2354.0,2927.0,3199.0,2254.0,1450.0,3984.0,5134.0,15302.0,6161.0,4687.0,7805.0,17947.0,10464.0,9845.0,8980.0,9850.0,19215.0,8559.0,8720.0,7043.0,9469.0,11000.0,10449.0,7453.0,9667.0,8240.0,9238.0,8288.0,11130.0,2342.0,8329.0,6489.0,5778.0,6039.0,6310.0,3784.0,4091.0,12866.0,9881.0,6670.0,3877.0,5277.0,5946.0,3124.0,10865.0
ECT,Ectorhinal area,17213.0,4709.0,20707.0,29676.0,48439.0,26203.0,20312.0,45127.0,17644.0,14098.0,17772.0,17611.0,30319.0,26118.0,13033.0,16966.0,3174.0,8389.0,6620.0,6861.0,7995.0,11068.0,9438.0,7539.0,21082.0,24997.0,48386.0,24437.0,13269.0,19703.0,49866.0,24363.0,40369.0,31785.0,27508.0,60059.0,27461.0,22725.0,24114.0,32910.0,23882.0,31550.0,24942.0,31380.0,30385.0,28476.0,21960.0,40892.0,10227.0,29974.0,18427.0,23535.0,21774.0,19165.0,22670.0,18501.0,37685.0,32414.0,17329.0,12083.0,21613.0,20187.0,9481.0,29127.0
PA,Posterior amygdalar nucleus,4707.0,3724.0,3169.0,8510.0,12784.0,9392.0,5322.0,8128.0,2922.0,3707.0,8779.0,3319.0,9481.0,7775.0,4852.0,7165.0,2117.0,2035.0,3661.0,2523.0,1761.0,2217.0,4688.0,1464.0,4107.0,5481.0,9909.0,3429.0,4980.0,6765.0,12666.0,6955.0,13479.0,13024.0,6171.0,16135.0,6634.0,8570.0,6630.0,15227.0,9794.0,12823.0,10329.0,9115.0,11073.0,10920.0,10597.0,11866.0,2205.0,5200.0,1920.0,5530.0,6163.0,4689.0,7156.0,3964.0,7857.0,3648.0,8074.0,4692.0,8737.0,6450.0,4633.0,13893.0
BMA,Basomedial amygdalar nucleus,9732.0,4989.0,7125.0,11847.0,22587.0,13769.0,10271.0,17308.0,6143.0,11110.0,17309.0,9851.0,17434.0,11257.0,11291.0,10178.0,4813.0,6166.0,7474.0,7102.0,3899.0,5884.0,8258.0,3921.0,10436.0,12041.0,21610.0,7646.0,9499.0,8875.0,19930.0,11798.0,27686.0,28180.0,17208.0,39973.0,12397.0,17681.0,11837.0,27637.0,16179.0,20115.0,11903.0,12896.0,16423.0,17582.0,16613.0,15658.0,6785.0,8028.0,3867.0,9423.0,13931.0,11262.0,13704.0,13323.0,14047.0,6226.0,12239.0,4680.0,21003.0,18171.0,11656.0,32590.0
BLA,Basolateral amygdalar nucleus,11591.0,8503.0,8817.0,14557.0,22431.0,16838.0,12384.0,22539.0,6710.0,8568.0,16714.0,8613.0,23019.0,13731.0,8898.0,13840.0,4642.0,5820.0,6210.0,9526.0,3913.0,9418.0,7568.0,4485.0,17239.0,13513.0,32923.0,12875.0,9505.0,14283.0,19837.0,18258.0,18281.0,20239.0,14058.0,34114.0,13146.0,16498.0,11909.0,26529.0,24325.0,32040.0,17206.0,18784.0,20246.0,24994.0,23041.0,23011.0,10089.0,10429.0,5297.0,11913.0,16432.0,18825.0,16335.0,18047.0,14827.0,6749.0,10571.0,7104.0,16793.0,18566.0,7250.0,27279.0
LA,Lateral amygdalar nucleus,4891.0,4073.0,6005.0,9059.0,14465.0,11944.0,8373.0,13408.0,4952.0,6527.0,11122.0,8496.0,15260.0,10130.0,4979.0,9093.0,2601.0,6499.0,7455.0,5964.0,5902.0,4053.0,4805.0,7225.0,21071.0,14883.0,30840.0,14770.0,10107.0,15883.0,20770.0,15823.0,18093.0,11828.0,10542.0,17939.0,10775.0,9257.0,11319.0,18977.0,11516.0,14646.0,9630.0,10581.0,12377.0,13494.0,12941.0,15310.0,7652.0,7722.0,3568.0,8289.0,11483.0,12697.0,14797.0,12739.0,8378.0,6606.0,6875.0,4452.0,14991.0,10336.0,8112.0,16656.0
EPv,Endopiriform nucleus ventral part,5842.0,3011.0,3574.0,6703.0,10397.0,6109.0,5499.0,10326.0,3448.0,4398.0,6609.0,5477.0,9002.0,6535.0,4851.0,6259.0,2892.0,3549.0,2660.0,4930.0,2915.0,4381.0,3247.0,1464.0,4586.0,5194.0,9594.0,4657.0,4463.0,6417.0,7672.0,5438.0,10849.0,9439.0,5533.0,18053.0,6668.0,10177.0,5948.0,14331.0,9252.0,11063.0,5521.0,8522.0,6600.0,10424.0,8766.0,10653.0,3681.0,3492.0,3174.0,7584.0,4794.0,5093.0,5173.0,5383.0,7929.0,1907.0,5282.0,2970.0,8600.0,8059.0,4120.0,13632.0
EPd,Endopiriform nucleus dorsal part,9425.0,11013.0,9799.0,13296.0,30759.0,13973.0,13981.0,30474.0,6913.0,12249.0,15748.0,19130.0,18044.0,9231.0,12480.0,10751.0,6523.0,8377.0,7908.0,7731.0,6987.0,11027.0,6651.0,5685.0,15187.0,15857.0,28328.0,10807.0,14027.0,16904.0,20583.0,11096.0,15348.0,13672.0,14681.0,25549.0,18681.0,26695.0,21331.0,43243.0,40244.0,42829.0,27078.0,34151.0,37151.0,36313.0,32061.0,41836.0,8153.0,9291.0,12555.0,19391.0,8509.0,11256.0,10415.0,8694.0,11421.0,6513.0,10041.0,4883.0,14465.0,13700.0,6145.0,23013.0
CLA,Claustrum,5108.0,4840.0,3433.0,6791.0,15007.0,5739.0,6827.0,17674.0,2520.0,7308.0,6246.0,9445.0,6325.0,3689.0,5140.0,4302.0,4501.0,3954.0,4131.0,4665.0,4241.0,5116.0,3360.0,2873.0,8503.0,7302.0,22184.0,5180.0,7935.0,6274.0,5138.0,4262.0,7887.0,6003.0,6853.0,11022.0,10589.0,11424.0,11183.0,19814.0,17428.0,16463.0,14344.0,14992.0,18955.0,15110.0,14709.0,14158.0,5191.0,5698.0,5048.0,11622.0,6144.0,5729.0,7715.0,5873.0,4495.0,3040.0,3526.0,2252.0,4238.0,6183.0,1550.0,8068.0
VISrl,Rostrolateral visual area,8004.0,2149.0,13170.0,11317.0,39178.0,11309.0,19464.0,12365.0,6802.0,10500.0,13782.0,18971.0,7480.0,8322.0,7719.0,3431.0,5578.0,12990.0,6862.0,9928.0,6820.0,9128.0,9381.0,5135.0,12726.0,7503.0,45768.0,19852.0,4045.0,18116.0,15946.0,15699.0,5958.0,16649.0,6834.0,22568.0,15827.0,26132.0,15654.0,37656.0,33762.0,25353.0,22252.0,28319.0,23780.0,30834.0,30915.0,32923.0,5898.0,21685.0,5939.0,23639.0,12103.0,12280.0,4260.0,10230.0,24639.0,16365.0,14962.0,2315.0,10053.0,1326.0,2387.0,15203.0
ACAv,Anterior cingulate area ventral part,22414.0,16034.0,23677.0,42901.0,61112.0,24291.0,25286.0,58479.0,21642.0,34358.0,37213.0,47534.0,29358.0,45946.0,27729.0,19907.0,13761.0,19008.0,28688.0,13240.0,17864.0,31300.0,30760.0,20514.0,32878.0,23837.0,40957.0,9665.0,30371.0,20378.0,19501.0,25377.0,12658.0,21183.0,5410.0,33644.0,37911.0,51266.0,48306.0,90853.0,59765.0,56521.0,46743.0,51575.0,54527.0,58639.0,60869.0,52207.0,25003.0,19977.0,16667.0,43647.0,14194.0,10598.0,5049.0,6219.0,33301.0,26982.0,23893.0,8389.0,13236.0,5448.0,3827.0,7474.0
ACAd,Anterior cingulate area dorsal part,33176.0,13341.0,17327.0,48644.0,55682.0,20163.0,38143.0,71236.0,20844.0,26754.0,36156.0,34487.0,23911.0,30735.0,30813.0,17967.0,17818.0,14959.0,13732.0,7640.0,13548.0,31875.0,26935.0,14884.0,39907.0,37754.0,57858.0,9941.0,32237.0,25627.0,15689.0,26178.0,11595.0,38050.0,9751.0,53937.0,46957.0,59626.0,49341.0,97051.0,72103.0,72523.0,69511.0,74189.0,61916.0,89511.0,81123.0,82271.0,23424.0,26450.0,14403.0,40189.0,18291.0,15392.0,5809.0,12125.0,46386.0,43149.0,25929.0,16456.0,14288.0,7860.0,1665.0,6235.0
VISpor,Postrhinal area,12853.0,2601.0,26303.0,33255.0,37271.0,25470.0,39034.0,41628.0,16372.0,19737.0,17113.0,17639.0,22167.0,25316.0,12060.0,15943.0,7679.0,19128.0,5823.0,13370.0,10568.0,10643.0,13747.0,7699.0,23235.0,14606.0,25553.0,27802.0,11889.0,17053.0,16174.0,30683.0,27305.0,36838.0,34435.0,59347.0,35519.0,27388.0,25751.0,39454.0,30182.0,32869.0,24433.0,35000.0,25665.0,30458.0,23616.0,31759.0,7593.0,20314.0,17530.0,15873.0,29931.0,21754.0,18271.0,24095.0,37994.0,30658.0,24996.0,8671.0,17941.0,8905.0,13408.0,23542.0
MOp,Primary motor area,42977.0,50688.0,47441.0,64399.0,111008.0,35646.0,87895.0,204373.0,22448.0,29032.0,51657.0,37355.0,23117.0,28996.0,34492.0,23436.0,10702.0,10772.0,14106.0,15187.0,14047.0,47347.0,25658.0,20645.0,123382.0,112026.0,267929.0,95476.0,79905.0,112433.0,72336.0,69578.0,16980.0,40334.0,24818.0,176680.0,68470.0,153370.0,46929.0,147157.0,224465.0,147500.0,154598.0,203316.0,158499.0,176760.0,207302.0,176521.0,49421.0,96929.0,63217.0,134238.0,54499.0,90981.0,52269.0,55041.0,72177.0,55135.0,63789.0,12246.0,23371.0,25054.0,7819.0,34603.0
MOs,Secondary motor area,58943.0,40644.0,36000.0,93231.0,168523.0,36044.0,105080.0,238781.0,29294.0,32627.0,38551.0,51357.0,41726.0,51719.0,46119.0,28183.0,19018.0,18305.0,10310.0,14067.0,18124.0,34972.0,27545.0,27219.0,128409.0,135730.0,252882.0,74771.0,82268.0,111882.0,61920.0,65359.0,22197.0,92768.0,20723.0,157781.0,96142.0,176708.0,73052.0,176675.0,241117.0,176931.0,175480.0,230262.0,160197.0,209692.0,215454.0,230956.0,44323.0,111848.0,54460.0,117874.0,51107.0,84267.0,36831.0,76538.0,95855.0,88626.0,94789.0,46415.0,38922.0,61396.0,6593.0,41517.0
SSp-n,Primary somatosensory area nose,12071.0,7822.0,24751.0,34977.0,56978.0,16634.0,34866.0,94594.0,9605.0,9450.0,6602.0,14892.0,10992.0,18834.0,14649.0,9476.0,1034.0,1696.0,2809.0,3083.0,5438.0,11919.0,6304.0,3192.0,61692.0,61713.0,103780.0,36975.0,36727.0,69722.0,34591.0,14385.0,3728.0,11531.0,5775.0,64969.0,10020.0,55319.0,23041.0,51842.0,39155.0,45201.0,25405.0,43680.0,29081.0,42873.0,50807.0,47528.0,11137.0,26122.0,33130.0,62893.0,20183.0,20830.0,15500.0,19583.0,48390.0,28671.0,26789.0,5174.0,21435.0,10772.0,1425.0,19886.0
SSp-bfd,Primary somatosensory area barrel field,31412.0,17353.0,44110.0,82472.0,152131.0,66079.0,80604.0,145751.0,25327.0,28402.0,47450.0,75956.0,34525.0,43044.0,36482.0,22174.0,6260.0,18167.0,20914.0,19499.0,19168.0,32627.0,38885.0,19774.0,121420.0,85471.0,204473.0,141871.0,41893.0,143949.0,83227.0,78824.0,12757.0,66076.0,13272.0,90266.0,60010.0,103080.0,65402.0,123400.0,163171.0,125215.0,92915.0,127582.0,112069.0,156027.0,163789.0,156378.0,27148.0,81745.0,30265.0,129844.0,37649.0,44502.0,20667.0,38684.0,106089.0,99070.0,92737.0,11382.0,43950.0,9431.0,3423.0,39625.0
SSp-ll,Primary somatosensory area lower limb,15326.0,6484.0,15475.0,14156.0,23720.0,17466.0,17991.0,46614.0,8073.0,15906.0,26476.0,20663.0,5828.0,11565.0,11834.0,6053.0,6574.0,5054.0,7354.0,5040.0,5606.0,16575.0,12077.0,5341.0,34445.0,29717.0,42699.0,24140.0,14456.0,28929.0,17256.0,23705.0,4816.0,13395.0,1187.0,23408.0,29723.0,51279.0,19273.0,51555.0,80204.0,57111.0,50707.0,67244.0,61257.0,64707.0,70869.0,78541.0,7243.0,17705.0,8835.0,33127.0,7002.0,10639.0,4053.0,5804.0,18826.0,20000.0,23378.0,3343.0,4701.0,1988.0,196.0,4285.0
SSp-m,Primary somatosensory area mouth,21844.0,22532.0,36145.0,71182.0,97749.0,49410.0,77216.0,165430.0,15559.0,20005.0,14353.0,11407.0,20389.0,21134.0,14154.0,23726.0,2054.0,3132.0,8258.0,8250.0,6058.0,18553.0,9156.0,7882.0,63685.0,70216.0,145697.0,44073.0,45546.0,75629.0,52389.0,37267.0,6072.0,15161.0,17613.0,167191.0,35406.0,85067.0,29596.0,91993.0,86646.0,57222.0,57584.0,92293.0,61880.0,76798.0,88277.0,56674.0,27083.0,61565.0,36644.0,94519.0,38485.0,86571.0,43937.0,54280.0,34456.0,36904.0,29891.0,8496.0,34261.0,29908.0,4222.0,32624.0
SSp-ul,Primary somatosensory area upper limb,13218.0,12101.0,18341.0,29718.0,38172.0,15806.0,20125.0,86183.0,7867.0,12860.0,29105.0,24602.0,9600.0,12656.0,17921.0,6434.0,4246.0,5245.0,7856.0,4343.0,5911.0,17208.0,13858.0,7064.0,51967.0,67918.0,82779.0,53740.0,26942.0,45017.0,27743.0,27518.0,2680.0,7041.0,1241.0,35998.0,25211.0,59025.0,19576.0,53971.0,100482.0,63039.0,58399.0,91081.0,80806.0,82008.0,97623.0,83491.0,13593.0,33042.0,23523.0,48648.0,12089.0,10919.0,4349.0,6562.0,35760.0,33455.0,29703.0,3559.0,7838.0,2859.0,208.0,6254.0
SSp-tr,Primary somatosensory area trunk,4372.0,2945.0,5512.0,9450.0,15615.0,11094.0,7715.0,13334.0,2480.0,6925.0,20046.0,11743.0,6575.0,8108.0,5993.0,1305.0,3659.0,2789.0,6357.0,3940.0,3479.0,7281.0,5819.0,4630.0,19290.0,14425.0,26920.0,16480.0,7076.0,14643.0,8727.0,13114.0,5444.0,12579.0,2176.0,26805.0,23230.0,34799.0,18933.0,31695.0,38923.0,26690.0,23203.0,33455.0,26532.0,30637.0,35614.0,32193.0,3723.0,8928.0,1168.0,13195.0,5923.0,9663.0,4210.0,5126.0,8994.0,16160.0,16467.0,488.0,8728.0,3224.0,408.0,5367.0
SSp-un,Primary somatosensory area unassigned,4053.0,3676.0,5972.0,11159.0,15751.0,6365.0,9812.0,32131.0,3351.0,3620.0,9520.0,11380.0,3767.0,4560.0,6358.0,1862.0,1369.0,1926.0,2687.0,2336.0,1786.0,7029.0,5498.0,1998.0,21649.0,20570.0,32736.0,26281.0,9428.0,18779.0,10654.0,10689.0,1127.0,3486.0,455.0,14473.0,8274.0,20578.0,7233.0,21423.0,31740.0,24868.0,17021.0,23060.0,22730.0,27309.0,31270.0,27861.0,5355.0,11625.0,7527.0,20005.0,7054.0,4354.0,2473.0,4221.0,15389.0,10331.0,12948.0,1860.0,3930.0,1182.0,124.0,3049.0
SSs,Supplemental somatosensory area,44042.0,37022.0,100480.0,102036.0,217701.0,60886.0,121467.0,262539.0,33567.0,47341.0,51632.0,72065.0,66595.0,44411.0,48389.0,40486.0,7444.0,22613.0,20623.0,30595.0,25473.0,50715.0,29841.0,20850.0,141503.0,107219.0,271662.0,111210.0,81068.0,198218.0,111217.0,106649.0,37080.0,64192.0,82745.0,255133.0,84650.0,161371.0,85795.0,143177.0,192901.0,163212.0,124324.0,203305.0,143001.0,170288.0,187732.0,175800.0,50761.0,68457.0,64477.0,167455.0,91172.0,167898.0,106331.0,125239.0,99546.0,80092.0,80057.0,29746.0,49607.0,35932.0,24475.0,96382.0
GU,Gustatory areas,14545.0,10610.0,13166.0,31590.0,37986.0,25310.0,26081.0,44096.0,9653.0,7246.0,8974.0,8188.0,16495.0,10954.0,3763.0,13831.0,1894.0,4646.0,3967.0,8283.0,4669.0,4271.0,969.0,2718.0,15676.0,17434.0,62684.0,16141.0,15876.0,25335.0,18438.0,22746.0,8777.0,7417.0,10814.0,29555.0,14010.0,20662.0,13895.0,27258.0,33781.0,34579.0,26185.0,38061.0,31352.0,28096.0,30225.0,31178.0,6326.0,16325.0,12853.0,26719.0,22816.0,49987.0,37475.0,39987.0,8914.0,8987.0,10942.0,3350.0,22328.0,18221.0,10259.0,20573.0
